OLQVR,0.11439,8.e-6,0.0075931
PDA,-0.93003,0,-0.00025436
PDB,-0.91309,0,0.0030523
PDEL,-0.68219,-8.e-6,-0.012209
PDER,-0.69287,8.e-6,0.021366
PHAL,-0.95855,-8.e-6,-0.015961
PHAR,-0.96062,8.e-6,-0.016788
PHBL,-0.98087,-8.e-6,-0.015134
PHBR,-0.97674,8.e-6,-0.018028
PHCL,-1.0172,-8.e-6,-0.016374
PHCR,-1.0139,8.e-6,-0.023814
PLML,-1.0251,-8.e-6,-0.018441
PLMR,-1.023,8.e-6,-0.017201
PLNL,-1.0086,-8.e-6,-0.014308
PLNR,-0.97013,8.e-6,-0.017614
PQR,-0.99038,8.e-6,-0.014308
PVCL,-0.97674,-8.e-6,-0.040348
PVCR,-0.98997,8.e-6,-0.030428
PVDL,-0.69593,-8.e-6,-0.012209
PVDR,-0.69898,8.e-6,0.018314
PVM,-0.70356,0,-0.0091569
PVNL,-1.0243,-8.e-6,-0.032494
PVNR,-1.0181,8.e-6,-0.033321
PVPL,-0.89573,-8.e-6,0.0096656
PVPR,-0.87837,8.e-6,0.013386
PVQL,-0.9631,-8.e-6,-0.019268
PVQR,-0.95318,8.e-6,-0.024228
PVR,-0.99451,8.e-6,-0.038694
PVT,-0.8825,0,0.015039
PVWL,-0.99906,-8.e-6,-0.018028
PVWR,-1.0077,8.e-6,-0.036214
RIAL,0.089526,-8.e-6,-0.0039352
RIAR,0.089892,8.e-6,-0.0046538
RIBL,0.070342,-8.e-6,0.0044271
RIBR,0.071032,8.e-6,0.0051437
RICL,0.055831,-8.e-6,0.0061488
RICR,0.052907,8.e-6,0.0048988
RID,0.09871,0,-0.016411
RIFL,0.0044089,-8.e-6,0.024494
RIFR,0.016656,8.e-6,0.023024
RIGL,-0.0063684,-8.e-6,0.024739
RIGR,0.0083279,8.e-6,0.023024
RIH,0.079934,0,0.0095921
RIML,0.064439,-8.e-6,0.0024595
RIMR,0.066868,8.e-6,0.0034291
RIPL,0.1215,-8.e-6,-0.0066407
RIPR,0.121,8.e-6,-0.0031842
RIR,0.069562,8.e-6,0.0093077
RIS,0.034536,0,0.016166
RIVL,0.073047,-8.e-6,-0.0182
RIVR,0.076176,8.e-6,-0.016901
RMDDL,0.07895,-8.e-6,0.0093461
RMDDR,0.077156,8.e-6,0.012247
RMDL,0.087312,-8.e-6,0.005165
RMDR,0.087933,8.e-6,0.0051437
RMDVL,0.094199,-8.e-6,-0.0029514
RMDVR,0.09724,8.e-6,-0.0019595
RMED,0.1156,0,-0.017954
RMEL,0.11265,-8.e-6,-0.0029514
RMER,0.11292,8.e-6,-0.00024494
RMEV,0.094056,0,0.017391
RMFL,0.069112,-8.e-6,0.012789
RMFR,0.071277,8.e-6,0.012247
RMGL,0.0088542,-8.e-6,0.0034433
RMGR,0.0095526,8.e-6,0.0017146
RMHL,0.073047,-8.e-6,0.0091002
RMHR,0.072257,8.e-6,0.010042
SAADL,0.07772,-8.e-6,0.0093461
SAADR,0.07838,8.e-6,0.011512
SAAVL,0.094445,-8.e-6,-0.0059028
SAAVR,0.094546,8.e-6,-0.0026943
SABD,-0.0026943,0,0.024249
SABVL,0.024739,-8.e-6,0.022289
SABVR,0.02033,8.e-6,0.022779
SDQL,-0.68982,-8.e-6,-0.010683
SDQR,-0.14651,8.e-6,-0.0030523
SIADL,0.068374,-8.e-6,0.010822
SIADR,0.06148,8.e-6,0.014941
SIAVL,0.051896,-8.e-6,0.014019
SIAVR,0.054621,8.e-6,0.011267
SIBDL,0.079688,-8.e-6,0.0068866
SIBDR,0.07985,8.e-6,0.0073481
SIBVL,0.074277,-8.e-6,0.010084
SIBVR,0.073237,8.e-6,0.0097975
SMBDL,0.064685,-8.e-6,0.014019
SMBDR,0.057316,8.e-6,0.016901
SMBVL,0.05952,-8.e-6,0.014265
SMBVR,0.066133,8.e-6,0.012737
SMDDL,0.072555,-8.e-6,0.013281
