,0,1,2
PDA,-2.95,341.7911,7.197326
PDB,-3.3,338.7541,8.667197
PDEL,25.75,95.06381,2.677778
PDER,-27.35,95.06381,2.677778
PHAL,1.2,359.267,2.803413
PHAR,-3.8,359.267,2.803413
PHBL,1.2,362.2012,2.487489
PHBR,-3.725,362.2012,2.487489
PHCL,0.75,365.7373,2.072205
PHCR,-3.425,365.7373,2.072205
PLML,2.5,367.2878,1.845091
PLMR,-3.675,367.2878,1.845091
PLNL,4.225,359.6723,-0.03050867
PLNR,-6.225,359.6723,-0.03050867
PQR,-0.325,364.5588,1.131379
PVCL,0.85,360.8967,1.934901
PVCR,-3.45,360.8967,1.934901
PVDL,24.749,126.2901,-1.308249
PVDR,-26.114,126.2901,-1.308249
PVM,24.85,140.5385,0.137159
PVNL,0.55,367.4772,1.129361
PVNR,-3.25,367.4324,1.107045
PVPL,-0.1,319.9947,11.02239
PVPR,-0.15,309.9682,10.76575
PVQL,0.85,359.1609,1.645303
PVQR,-3.3,359.1609,1.645303
PVR,-1.85,364.6247,1.10558
PVT,-0.1,311.8919,12.04964
PVWL,0.8,362.5111,1.183793
PVWR,-3.4,362.5111,1.183793
RIAL,4.0,-356.544,-0.6210581
RIAR,-8.2,-356.544,-0.6210581
RIBL,5.5,-348.3825,3.614484
RIBR,-9.8,-348.3825,3.614484
RICL,-0.737,-350.9412,4.597103
RICR,-3.563,-350.9412,4.597103
RID,-1.225,-361.805,-9.2063
RIFL,0.0,-317.1709,10.40651
RIFR,-5.15,-324.8802,8.142299
RIGL,0.0,-310.3141,9.015897
RIGR,-4.7,-320.1364,9.366378
RIH,-2.0,-350.3764,6.678004
RIML,3.5,-345.5892,1.309511
RIMR,-7.75,-345.5892,1.309511
RIPL,3.375,-365.6255,-1.404486
RIPR,-7.625,-365.6255,-1.404486
RIR,-11.6,-349.2746,5.466279
RIS,-4.825,-344.5239,6.718059
RIVL,4.5,-353.9707,-7.415606
RIVR,-8.75,-353.9707,-7.415606
RMDDL,3.6,-352.6661,5.77182
RMDDR,-7.75,-352.6661,5.77182
RMDL,3.1,-355.8705,3.193252
RMDR,-7.4,-355.8705,3.193252
RMDVL,4.85,-357.213,0.2816126
RMDVR,-9.049999,-357.213,0.2816126
RMED,-1.5,-365.9134,-11.47704
RMEL,4.65,-361.108,-1.029685
RMER,-8.900001,-361.108,-1.029685
RMEV,-2.033,-355.638,9.061965
RMFL,1.1,-347.4389,7.468774
RMFR,-5.4,-347.4389,7.468774
RMGL,8.25,-322.5583,-2.99262
RMGR,-12.5,-322.5583,-2.99262
RMHL,1.1,-348.9,6.339309
RMHR,-5.3,-348.9,6.339309
SAADL,-4.688,-355.4169,2.021853
SAADR,0.531,-355.4169,2.021853
SAAVL,3.9,-357.2977,-0.7825777
SAAVR,-8.175,-357.2977,-0.7825777
SABD,-3.2,-311.0132,11.01047
SABVL,3.325,-328.4911,9.460897
SABVR,-8.1,-328.4911,9.460897
SDQL,21.4,173.8128,-6.716793
SDQR,-14.2,-208.1101,-17.52841
SIADL,-3.958,-353.7628,-0.6141688
SIADR,-0.383,-355.0753,0.2527643
SIAVL,5.95,-341.7171,6.996918
SIAVR,-10.2,-341.7171,6.996918
SIBDL,-5.267,-355.8047,-1.770831
SIBDR,0.967,-355.8047,-1.770831
SIBVL,-2.667,-352.5426,8.146392
SIBVR,-2.767,-352.5426,8.146392
SMBDL,3.1,-346.2997,8.0819
SMBDR,-7.0,-346.2997,8.0819
SMBVL,0.425,-345.5026,7.782339
SMBVR,-4.6,-345.5026,7.782339
SMDDL,3.25,-348.5908,7.947684
SMDDR,-7.45,-348.5908,7.947684
SMDVL,4.7,-357.7782,-1.91049
SMDVR,-8.900001,-357.7782,-1.91049
URADL,5.0,-372.3409,-2.837839
URADR,-9.3,-372.3409,-2.837839
URAVL,0.325,-364.199,5.961356
URAVR,-4.575,-364.199,5.961356
URBL,5.05,-366.5282,0.2346757
URBR,-9.325,-366.5282,0.2346757
URXL,3.05,-357.3484,-3.810877
URXR,-7.35,-357.3484,-3.810877
URYDL,4.125,-369.2165,-3.468794
URYDR,-8.4,-369.2165,-3.468794
URYVL,3.4,-366.7765,2.62821
URYVR,-7.7,-366.7765,2.62821
VA1,-1.35,-310.1172,14.15508
VA10,-1.85,214.6142,24.59182
VA11,-1.55,269.3405,17.2658
VA12,-0.1,315.2812,13.46623
VA2,-1.85,-286.0942,18.82491
VA3,-1.475,-246.2157,21.83476
VA4,-1.85,-177.5186,21.17139
VA5,-1.85,-123.0652,22.72943
VA6,-1.85,-50.70242,28.63091
VA7,-1.85,42.05512,23.24641
VA8,-1.8,104.541,24.05912
VA9,-1.8,167.3024,24.12107
VB1,-1.55,-322.1651,15.2271
VB10,-1.85,176.8435,24.0971
VB11,-1.825,222.2047,23.3884
VB2,-2.0,-330.0621,15.30764
VB3,-1.85,-277.7111,19.56108
VB4,-2.0,-233.3691,22.62274
VB5,-1.85,-168.4284,21.29531
VB6,-1.85,-107.7866,24.04079
VB7,-9.675,-25.00219,23.37727
VB8,-1.825,55.26069,24.12099
VB9,-1.85,114.4475,22.90145
VC1,-0.725,-229.4929,22.98727
VC2,-0.625,-164.6764,21.37517
VC3,-1.45,-79.87515,27.28084
VC4,-1.15,-22.75858,24.36292
VC5,-1.15,3.734544,24.25827
VD1,-0.7,-300.1819,17.51911
VD10,-0.75,195.5521,24.5615
VD11,-0.8,243.4046,21.0578
VD12,-0.75,298.3571,15.07416
VD13,-0.75,333.4729,10.32656
VD2,-0.65,-297.0719,17.75355
VD3,-0.8,-251.1349,21.29649
VD4,-0.8,-194.1992,22.59398
VD5,-0.75,-134.725,21.43905
VD6,-0.7,-74.90904,27.79582
VD7,-12.35,-5.144012,21.98411
VD8,-0.75,87.20349,24.84488
VD9,-0.8,148.8379,23.23193
